participantID,trialN,chartType,actualPercent,enteredPercent,error
Mari,34,Line,44,50,2.6147098441152083
Mari,35,Pie,42,50,3.0223678130284544
Mari,36,Pie,90,70,4.330916878114617
Mari,37,Pie,91,99,3.0223678130284544
Mari,38,Line,98,99,0.16992500144231237
Mari,39,Line,21,20,0.16992500144231237
Mari,40,Bar,74,80,2.6147098441152083
Mari,41,Pie,31,50,4.257387842692652
Mari,42,Bar,77,80,1.6438561897747248
Mari,43,Pie,34,50,4.011227255423254
Mari,44,Pie,38,30,3.0223678130284544
Mari,45,Pie,39,50,3.4757334309663976
Mari,46,Bar,54,50,2.0443941193584534
Mari,47,Bar,57,50,2.8328900141647417
Mari,48,Bar,23,30,2.8328900141647417
Mari,49,Line,33,30,1.6438561897747248
Mari,50,Line,87,80,2.8328900141647417
Mari,51,Bar,28,30,1.0874628412503393
Mari,52,Line,78,85,2.8328900141647417
Mari,53,Pie,94,99,2.357552004618084
Mari,54,Bar,69,76,2.8328900141647417
Mari,55,Line,97,99,1.0874628412503393
Mari,56,Bar,55,50,2.357552004618084
Mari,57,Pie,40,33,2.8328900141647417
Mari,58,Bar,19,20,0.16992500144231237
Mari,59,Bar,28,22,2.6147098441152083
Mari,60,Bar,85,80,2.357552004618084
Drit,1,Pie,59,44,3.9188632372745946
Drit,2,Bar,97,98,0.16992500144231237
Drit,3,Line,24,25,0.16992500144231237
Drit,4,Pie,50,78,4.813781191217037
Drit,5,Bar,38,35,1.6438561897747248
Drit,6,Bar,80,78,1.0874628412503393
Drit,7,Pie,54,33,4.400879436282184
Drit,8,Pie,72,50,4.467605550082998
Drit,9,Pie,84,78,2.6147098441152083
Drit,10,Line,24,25,0.16992500144231237
Drit,11,Bar,64,60,2.0443941193584534
Drit,12,Line,71,80,3.189824558880017
Drit,13,Bar,91,90,0.16992500144231237
Drit,14,Line,82,90,3.0223678130284544
Drit,15,Bar,87,90,1.6438561897747248
Drit,16,Pie,46,50,2.0443941193584534
Drit,17,Pie,87,60,4.7615512324444795
Drit,18,Bar,100,100,-3
Drit,19,Bar,38,33,2.357552004618084
Drit,20,Line,82,80,1.0874628412503393
Drit,21,Pie,38,40,1.0874628412503393
Drit,22,Bar,50,40,3.3398500028846247
Drit,23,Pie,68,80,3.599912842187128
Drit,24,Line,33,20,3.7142455176661224
Drit,25,Pie,69,50,4.257387842692652
Drit,26,Line,22,25,1.6438561897747248
Drit,27,Bar,75,60,3.9188632372745946
Drit,28,Bar,87,80,2.8328900141647417
Drit,29,Line,41,50,3.189824558880017
Drit,30,Bar,72,70,1.0874628412503393
Drit,31,Line,57,50,2.8328900141647417
Drit,32,Line,28,30,1.0874628412503393
Drit,33,Bar,44,40,2.0443941193584534
Drit,34,Pie,35,30,2.357552004618084
Drit,35,Line,28,40,3.599912842187128
Drit,36,Bar,93,90,1.6438561897747248
Drit,37,Bar,51,50,0.16992500144231237
Drit,38,Line,69,60,3.189824558880017
Drit,39,Bar,73,80,2.8328900141647417
Drit,40,Pie,42,50,3.0223678130284544
Drit,41,Pie,80,80,-3
Drit,42,Bar,96,90,2.6147098441152083
Drit,43,Pie,43,33,3.3398500028846247
Drit,44,Bar,51,50,0.16992500144231237
